ID,materia,codigocodif_V1,unidad,cantidad_co,valor_co,cantidad_uti,valor_uti
33784.0,LECHE PURA VIDA (TIENDAS),22110001,LITRO,18500.0,85775.0,18780.0,87073.0
33784.0,CREMA DE LECHE,22120001,KILOGRAMO,60.0,1363.0,60.0,1363.0
33784.0,LECHE EVAPORADA,22221000,UNIDAD,1152.0,9163.0,1302.0,10356.0
33784.0,QUESILLO,22251006,KILOGRAMO,101001.0,2525561.0,100460.0,2512033.0
33784.0,QUESO RIO GRANDE Y SAN JAVIER,22251017,KILOGRAMO,14983.0,520458.0,15088.0,524105.0
33784.0,"HARINA DE TRIGO, YUCA Y TRIGAL",231,KILOGRAMO,157449.0,376091.0,97748.0,233486.0
33784.0,LEVADURA,23996002,KILOGRAMO,1101.0,15364.0,1033.0,14422.0
33784.0,TOJORI EN POLVO,23999034,KILOGRAMO,3316.0,46610.0,3421.0,48086.0
33784.0,ROLLOS DE PAPEL,32129,UNIDAD,5145.0,62417.0,5448.0,66681.0
33784.0,PAPEL SABANA,32129018,UNIDAD,34500.0,16816.0,35049.0,17965.0
33784.0,BOLSAS DE PAN,32152002,UNIDAD,49120.0,16061.0,49965.0,17158.0
33784.0,SOBRES DE PAPEL,32152005,UNIDAD,5639.0,105119.0,6274.0,112300.0
33784.0,CAJAS DE CARTON,32153004,UNIDAD,5720.0,13284.0,5773.0,14192.0
33784.0,FILTROS DE CAFE,32199023,UNIDAD,5100.0,1247.0,5104.0,1332.0
33784.0,TAPAS TRASPARENTES,36490007,UNIDAD,1000.0,520.0,1001.0,556.0
33784.0,TAPAS PARA ENVASES,36490007,UNIDAD,473980.0,51885.0,485268.0,55429.0
33784.0,ENVASES TERMICOS,36490024,UNIDAD,22460.0,23742.0,22687.0,25364.0
33784.0,VASOS DESECHABLES,36940017,UNIDAD,739895.0,259943.0,791079.0,277702.0
33784.0,BOMBILLAS,36990009,UNIDAD,2550.0,6230.0,2562.0,6656.0
33784.0,BANDEJAS CUADRADAS,42912021,UNIDAD,124800.0,42867.0,207919.0,47748.0
33784.0,OTROS MATERIAS PRIMAS,99999994,KILOGRAMO,246514.0,3105044.0,247564.0,3481485.0
33784.0,OTROS ENVASES,99999994,VALOR,0.0,333024.0,0.0,349161.0
35588.0,GRANO DE SOYA,01412000,TONELADA MÉTRICA,384045.27,759770720.15,461475.39,939904811.32
35588.0,TONSIL,16190014,KILOGRAMO,364000.0,1864987.0,377200.0,1944202.0
35588.0,HILO,26350000,KILOGRAMO,15600.0,570024.0,7757.0,283532.0
35588.0,VENESTAS,31511002,UNIDAD,165.0,10579.0,254.0,16362.0
35588.0,CAJAS,32153001,UNIDAD,981157.0,3222284.0,936329.0,3089815.0
35588.0,ETIQUETAS,32197002,UNIDAD,12414398.0,658565.0,11031055.0,589894.0
35588.0,DIESEL,33360000,LITRO,45000.0,152167.25,40141.0,135736.79
35588.0,"HIDROXIDOS, ACIDOS Y OTROS (SUST. CONTROLAD.)",34,LITRO,121.0,22602.6,104.0,19897.0
35588.0,"HIDROXIDOS, ACIDOS Y OTROS -  (SUST. CONTROLAD.)",34,KILOGRAMO,30.0,6960.0,27.0,7493.0
35588.0,HEXANO,34110001,KILOGRAMO,465360.0,4743863.05,461858.95,4772957.7
35588.0,ACIDO CITRICO,34140023,KILOGRAMO,180750.0,1727407.9,178075.0,1668664.15
35588.0,SODA CAUSTICA,34231022,KILOGRAMO,140000.0,906921.22,130325.0,816329.37
35588.0,ACIDO FOSOFORICO,34232000,KILOGRAMO,0.0,0.0,2665.0,25934.02
35588.0,VITAMINA A,35250001,KILOGRAMO,2700.0,1473545.07,2903.0,1546526.42
35588.0,ACEITE MINERAL,35430002,KILOGRAMO,860.0,146329.0,0.0,0.0
35588.0,TBHQ,35499016,KILOGRAMO,2901.0,352109.65,2785.0,339781.66
35588.0,BOLSAS,36410003,UNIDAD,6224750.0,8663759.0,6205757.0,8696135.0
35588.0,TAPAS,36490007,UNIDAD,12330000.0,2467845.0,11084575.0,2221578.0
35588.0,BIDONES,36490012,UNIDAD,258475.0,3514270.0,242613.0,3416100.0
35588.0,PREFORMAS,36490998,UNIDAD,12557595.0,3922941.0,11322169.0,3659827.0
35588.0,TURRILES,42931006,UNIDAD,4207.0,1028694.0,3359.0,851880.0
35588.0,SELECT,99999994,KILOGRAMO,0.0,0.0,30175.0,437538.0
